point_group,order,max_rotation_order,confidence,tolerance_used,smiles,name,expected,has_reference,detected,match,validation_status,assembly_index
C1,1,1,0.9,0.5,C,methane,Td,True,C1,False,MISMATCH,3.32
C1,1,1,0.9,0.5,CC,ethane,D3d,True,C1,False,MISMATCH,4.0
Cs,2,1,0.7,0.5,c1ccccc1,benzene,D6h,True,Cs,False,MISMATCH,6.08
C1,1,1,0.9,0.5,C(F)(F)F,fluoroform,C3v,True,C1,False,MISMATCH,3.32
C1,1,1,0.9,0.5,C(Cl)(Cl)Cl,chloroform,C3v,True,C1,False,MISMATCH,3.32
C1,1,1,0.9,0.5,C1CC1,cyclopropane,D3h,True,C1,False,MISMATCH,5.67
C1,1,1,0.9,0.5,C1CCC1,cyclobutane,D4h,True,C1,False,MISMATCH,6.08
C1,1,1,0.9,0.5,C1CCCC1,cyclopentane,D5h,True,C1,False,MISMATCH,6.41
C1,1,1,0.9,0.5,C1CCCCC1,cyclohexane,D6h,True,C1,False,MISMATCH,6.67
Cs,2,1,0.7,0.5,O,water,C2v,True,Cs,False,MISMATCH,2.58
C1,1,1,0.9,0.5,O=C(O)c1ccccc1,benzoic acid,Cs,False,,,NO_REFERENCE,6.41
Cs,2,1,0.7,0.5,c1ccc(O)cc1,phenol,Cs,False,,,NO_REFERENCE,6.2
Cs,2,1,0.7,0.5,c1ccc(Cl)cc1,chlorobenzene,Cs,False,,,NO_REFERENCE,6.08
C1,1,1,0.9,0.5,c1ccccc1c2ccccc2,biphenyl,D2h,False,,,NO_REFERENCE,8.46
C1,1,1,0.9,0.5,c1ccc(O)c(O)c1,catechol,C2v,False,,,NO_REFERENCE,6.31
Cs,2,1,0.7,0.5,c1cc(Cl)cc(Cl)c1,"1,3,5-trichlorobenzene",D3h,False,,,NO_REFERENCE,6.08
C1,1,1,0.9,0.5,CC(C)C,isobutane,Cs,False,,,NO_REFERENCE,4.81
C1,1,1,0.9,0.5,CCCC,butane,C2,False,,,NO_REFERENCE,4.81
C1,1,1,0.9,0.5,CCC,propane,C2v,False,,,NO_REFERENCE,4.46
C1,1,1,0.9,0.5,CC(C)CC,2-methylbutane,C1,False,,,NO_REFERENCE,5.09
C1,1,1,0.9,0.5,CC(C)(C)C,neopentane,Td,False,,,NO_REFERENCE,5.09
C1,1,1,0.9,0.5,CC(=O)C,acetone,C2v,False,,,NO_REFERENCE,4.32
C1,1,1,0.9,0.5,c1ccccc1C=O,benzaldehyde,Cs,False,,,NO_REFERENCE,6.31
C1,1,1,0.9,0.5,CC(=O)c1ccccc1,acetophenone,Cs,False,,,NO_REFERENCE,6.59
C1,1,1,0.9,0.5,O=C(c1ccccc1)c2ccccc2,benzophenone,D2h,False,,,NO_REFERENCE,8.58
C1,1,1,0.9,0.5,c1ccccc1Oc2ccccc2,diphenyl ether,D2h,False,,,NO_REFERENCE,8.52
C1,1,1,0.9,0.5,c1cc2ccccc2cc1,naphthalene,D2h,False,,,NO_REFERENCE,8.17
C1,1,1,0.9,0.5,c1ccc2c(c1)ccc3c2cccc3,anthracene,D2h,False,,,NO_REFERENCE,10.08
Cs,2,1,0.7,0.5,c1cnccc1,pyridine,Cs,False,,,NO_REFERENCE,5.96
Cs,2,1,0.7,0.5,c1ccoc1,furan,C2v,False,,,NO_REFERENCE,5.67
Cs,2,1,0.7,0.5,c1ccncc1,pyrazine,D2h,False,,,NO_REFERENCE,5.96
C1,1,1,0.9,0.5,CO,methanol,Cs,False,,,NO_REFERENCE,3.58
C1,1,1,0.9,0.5,CCO,ethanol,Cs,False,,,NO_REFERENCE,4.17
C1,1,1,0.9,0.5,CC(O)C,isopropanol,Cs,False,,,NO_REFERENCE,4.58
C1,1,1,0.9,0.5,c1ccccc1N,aniline,Cs,False,,,NO_REFERENCE,6.31
C1,1,1,0.9,0.5,c1ccccc1Nc2ccccc2,diphenylamine,C2v,False,,,NO_REFERENCE,8.58
C1,1,1,0.9,0.5,c1ccccc1C(=O)O,benzoic acid,Cs,False,,,NO_REFERENCE,6.41
C1,1,1,0.9,0.5,CCCCC,pentane,C2,False,,,NO_REFERENCE,5.09
C1,1,1,0.9,0.5,CCCCCC,hexane,C2,False,,,NO_REFERENCE,5.32
C1,1,1,0.9,0.5,CC(C)C(C)C,"2,3-dimethylbutane",C2,False,,,NO_REFERENCE,5.32
Cs,2,1,0.7,0.5,c1ccc(F)cc1,fluorobenzene,Cs,False,,,NO_REFERENCE,6.08
Cs,2,1,0.7,0.5,c1ccc(Br)cc1,bromobenzene,Cs,False,,,NO_REFERENCE,6.08
Cs,2,1,0.7,0.5,c1ccc(I)cc1,iodobenzene,Cs,False,,,NO_REFERENCE,6.08
C1,1,1,0.9,0.5,c1ccc(N)cc1,4-aminobiphenyl,C2v,False,,,NO_REFERENCE,6.31
