current_pg,trusted_pg,count
C1,C1,100909
Cs,Cs,12788
C1,Cs,5945
Cs,C1,5940
C2v,C2v,338
C2,C2,245
C2,Cs,60
C3v,C3v,58
C2,C1,54
C2v,Cs,53
C1,C2,39
C2,C2v,38
C2h,C2h,29
Cs,C2v,29
C1,C2v,27
C2v,C2,27
C2,C2h,17
C2,D2,17
Cs,C2,15
D3h,D3h,13
D2d,D2d,12
D2,D2,11
D2,C2,9
C3,C3,9
D*h,D*h,8
C2v,C1,7
C*v,C*v,7
D2h,D2h,6
C2h,C2,6
Ci,Ci,6
C1,Ci,4
Td,Td,4
C3,Cs,3
D2,C1,3
D2d,C2v,3
D3d,D3d,3
C2v,D2d,3
Cs,D1d,2
D2d,Cs,2
C3v,D1d,2
C3h,C3h,2
C2,Ci,2
D2,C2h,2
D2h,C2v,2
Cs,D2,2
C2h,D2,2
C2v,C2h,2
D2,C2v,2
C2,S2,2
C1,C3,1
C1,D2,1
C2,C3,1
C1,D2d,1
C2,D2d,1
C2,D3,1
C2h,Ci,1
Ci,C2,1
C3v,C3h,1
C3v,C*v,1
C2v,D2h,1
C2,C4,1
D1d,C3v,1
Cs,C2h,1
Cs,C3h,1
D2,Cs,1
D2,D2d,1
D3d,D2h,1
D3d,D3,1
D3h,D3d,1
D6h,D6h,1
Ih,Oh,1
S4,S4,1
